Unnamed: 0,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,clean,toxicity_similarity
49523,84647b023394abd9,"Where are your sources? Or proofs? Did you go on kabam forum and got response from their team? If not, why you havent? Youve been here reverting my changes for a week.

You had a hunch that smth changed. Thats it. And you allow yourself to change this article. NOT WRITE IT, CHANGE IT. So there are 2 editors who said they are playable, and you as 1 person are still right.
In a mean time, before i managed to reply you, smbdy else already changed hawkeye and spideman back. So, now there are 3 of us. Will you change it again?

Furthermore, you asked me to give you a proof, and i posted an ss. Now you are questioning validity of that, and my candour with it. Then why you bothered to ask me in a first place?! Because you are bored? Im not. Really am not.
And there are not more of you, there is only you. I am not explaining this to other readers or editors, nobody in this argument but you and me. There are other ppl editing this, they wouldve joined so far if they wanted. Stop using plural. 
Is hulk a bot in this picture?! Really?! Have you even played the game? And when you 'did' play, how many times your champ was on the right side in the battle?? Try to think before coming after someones integrity. Or just try to think. Anyplace. Anytime.

No, that is not my spiderman. Like a reasonable, logical being, after i seen that someone changed this article here, i asked my ally if they have one of the champs, and if they could try to play 1v1 with them. Only few people didnt sell those 1*s in my ally, but luckily one of them few had 2 of those and he sent me ss, which i posted here.
But being an awesome mate and even better human being, even i asked for only one ss, he sent me few of them ss1  ss2 ss3  ss4, apologized for late wolverine ss, and asked if i needed it better. I said no, cause i thought im dealing with a normal person. Honest mistake.

Ive done my elaborations. With even one ss, your whole theory falls, i really dont have to prove the others. That Thor i never seen, never heard about him, so i think its normal i never mentioned it, nor have i ever changed anything about him. Do try to contact kabam about that as well.

Now, im done writing to you. If you gonna ask for another ss, to prove every champ you think doesnt exist, exists, then you know where you can go.
I think ive proven more than i need, especially since i had to prove innocence in a first place. Meanwhile, ill keep changing it until i get blocked. Then im done with editing ever, ill die of heart attack before 40.
Auf wiedersehen, my french friend, hope you have a very lucky, lucky life.",0,0,0,0,0,0,where are your sources or proofs did you go on kabam forum and got response from their team if not why you havent youve been here reverting my changes for a week you had a hunch that smth changed thats it and you allow yourself to change this article not write it change it so there are 2 editors who said they are playable and you as 1 person are still right in a mean time before i managed to reply you smbdy else already changed hawkeye and spideman back so now there are 3 of us will you change it again furthermore you asked me to give you a proof and i posted an ss now you are questioning validity of that and my candour with it then why you bothered to ask me in a first place because you are bored im not really am not and there are not more of you there is only you i am not explaining this to other readers or editors nobody in this argument but you and me there are other ppl editing this they wouldve joined so far if they wanted stop using plural is hulk a bot in this picture really have you even played the game and when you did play how many times your champ was on the right side in the battle try to think before coming after someones integrity or just try to think anyplace anytime no that is not my spiderman like a reasonable logical being after i seen that someone changed this article here i asked my ally if they have one of the champs and if they could try to play 1v1 with them only few people didnt sell those 1 s in my ally but luckily one of them few had 2 of those and he sent me ss which i posted here but being an awesome mate and even better human being even i asked for only one ss he sent me few of them ss1 ss2 ss3 ss4 apologized for late wolverine ss and asked if i needed it better i said no cause i thought im dealing with a normal person honest mistake ive done my elaborations with even one ss your whole theory falls i really dont have to prove the others that thor i never seen never heard about him so i think its normal i never mentioned it nor have i ever changed anything about him do try to contact kabam about that as well now im done writing to you if you gonna ask for another ss to prove every champ you think doesnt exist exists then you know where you can go i think ive proven more than i need especially since i had to prove innocence in a first place meanwhile ill keep changing it until i get blocked then im done with editing ever ill die of heart attack before 40 auf wiedersehen my french friend hope you have a very lucky lucky life,0.08779148124251708
5712,0f484e56456b4dbd,""" why don´t you block vandercken he made a""""personal attack"""" How many @!$%?*# times are people going to try to redesign the Main Page? Leave it alone and focus on getting our articles up to scratch.""",0,0,0,0,0,0,why don t you block vandercken he made a personal attack how many times are people going to try to redesign the main page leave it alone and focus on getting our articles up to scratch,0.0771483690963117
96727,055871e4dd86211a,"Please stop. If you continue to vandalize Wikipedia, as you did to User:Animum/About, you will be blocked from editing.  ''''''",0,0,0,0,0,0,please stop if you continue to vandalize wikipedia as you did to user animum about you will be blocked from editing,0.0685774096825787
136350,d978203786f29444,"I... really have nothing left to say. My sincere apology... I will now post a restriction; I will cease going to the noticeboards, and only really edit articles that interest me. I will try to stop posting on talk pages as well. Far an away I am... i...i.. don't know what else to do except wait. I'm keeping up this page for now, in order to wait. Signed... yours truly,",0,0,0,0,0,0,i really have nothing left to say my sincere apology i will now post a restriction i will cease going to the noticeboards and only really edit articles that interest me i will try to stop posting on talk pages as well far an away i am i i don t know what else to do except wait i m keeping up this page for now in order to wait signed yours truly,0.06706945624866936
30918,522043b94903dfd4,"""When editing an article on Wikipedia there is a small field labelled """"Edit summary"""" under the main edit-box. It looks like this:

The text written here will appear on the Recent changes page, in the page revision history, on the diff page, and in the watchlists of users who are watching that article. See m:Help:Edit summary for full information on this feature.

When you leave the edit summary blank, some of your edits could be mistaken for vandalism and may be reverted, so please always briefly summarize your edits, especially when you are making subtle but important changes, like changing dates or numbers. Thank you. –   """,0,0,0,0,0,0,when editing an article on wikipedia there is a small field labelled edit summary under the main edit box it looks like this the text written here will appear on the recent changes page in the page revision history on the diff page and in the watchlists of users who are watching that article see m help edit summary for full information on this feature when you leave the edit summary blank some of your edits could be mistaken for vandalism and may be reverted so please always briefly summarize your edits especially when you are making subtle but important changes like changing dates or numbers thank you,0.0533637036962877
143894,0451c922680f99b9,"All the links from this page seem to have been deleted. I have postd my dream dictionary. I do beleive that posting links is valid. How else is such information to be conveyed. I have spent years analysing dreams. Its not a science. Yet I have attempted to backwards engineer dreams. Look at important events that could trigger dreams. Then see how the dream symbols relate to reality. Hey I maybe spamming. But other than posting up an entire dream dictionary how is such information to be conveyed. Really I thought this was a half decent sitye. Now I just see certain people enforce their own ideas. There is really no democracy.
For your interest this is my site

Dream symbols

That link to http://dmoz.org is useless. Its just a dream directory. Its imposible to joing it because the peopkle who run the sitys have long since lost interest. Just dump it. Its worthless.",0,0,0,0,0,0,all the links from this page seem to have been deleted i have postd my dream dictionary i do beleive that posting links is valid how else is such information to be conveyed i have spent years analysing dreams its not a science yet i have attempted to backwards engineer dreams look at important events that could trigger dreams then see how the dream symbols relate to reality hey i maybe spamming but other than posting up an entire dream dictionary how is such information to be conveyed really i thought this was a half decent sitye now i just see certain people enforce their own ideas there is really no democracy for your interest this is my site dream symbols that link to is useless its just a dream directory its imposible to joing it because the peopkle who run the sitys have long since lost interest just dump it its worthless,0.05274879583917428
108355,4340bbd38952ed7d,"""

 Why no comment? 

I started an article on """"Voice of the Retarded"""" and you speedily deleted it. I should think you would have somewhere noted reason for action and suggested how I could get an entry started. I put in a request for editorial help in writing it but can't find any responses. 'Sup?

The Voice of the Retarded is a long-established advocacy organization with a stable website http://www.vor.net and much influence in the field they serve. They are also quite controversial but are just as deserving of a place in Wikipedia as other advocacy groups for Persons With Disabilities.

  """,0,0,0,0,0,0,why no comment i started an article on voice of the retarded and you speedily deleted it i should think you would have somewhere noted reason for action and suggested how i could get an entry started i put in a request for editorial help in writing it but can t find any responses sup the voice of the retarded is a long established advocacy organization with a stable website and much influence in the field they serve they are also quite controversial but are just as deserving of a place in wikipedia as other advocacy groups for persons with disabilities,0.052424135020049153
85078,e3a3e061599ec8f9,We dont know its not like she can answer you,0,0,0,0,0,0,we dont know its not like she can answer you,0.05150905982862655
129649,b58487dbc5444993,"""

Memo to Ernest The Sheep
(The following was left on Ernest The Sheep's talk page and is copied here because it relevant to the article)  
 TABTAB
Your recent edit to the New Zealand section of the horse article removed the names of Phar Lap and Tulloch. When I restored those names in the edit previous to yours, my edit summary said """"Read two paragraphs above - """"The bloodstock industry is important to New Zealand, with the export sale of horses"""". That includes Tulloch and Phar Lap"""". And yet you still reverted by eliminating those two horses, leaving the edit summary """"Will it never end?, LOL""""''. You didn't give a reason for the revert. All you did was disrupt wikipedia. I have reverted to the version which includes Phar Lap and Tulloch who are both products Trelawney Stud Retrieved on 30 April 2009of the New Zealand horse racing stud industry. Read the cites. Where they later raced can never preclude them from being part of the NZ horse industry. So please don't revert again.  """,0,0,0,0,0,0,memo to ernest the sheep the following was left on ernest the sheep s talk page and is copied here because it relevant to the article tabtab your recent edit to the new zealand section of the horse article removed the names of phar lap and tulloch when i restored those names in the edit previous to yours my edit summary said read two paragraphs above the bloodstock industry is important to new zealand with the export sale of horses that includes tulloch and phar lap and yet you still reverted by eliminating those two horses leaving the edit summary will it never end lol you didn t give a reason for the revert all you did was disrupt wikipedia i have reverted to the version which includes phar lap and tulloch who are both products trelawney stud retrieved on 30 april 2009of the new zealand horse racing stud industry read the cites where they later raced can never preclude them from being part of the nz horse industry so please don t revert again,0.05113158722786427
158210,ea8358f9ecd55148,"""Concerning one point of disagreement concerning policy formulation in the above discussion, I would suggest that the normal approach is:
Yes, knowing something to be untrue, is generally accepted as a reason to tag or remove material. In fact, the extreme argument, which I do not have much sympathy with, is that questioning un-sourced material is always acceptable, no matter what the intention. (But then people generally add some proviso when arguing this extreme version, such as """"except when we are talking about obvious behavior issues"""".)
Trying to formulate what less extreme people think, I would say that believing something to be unlikely to be something that people could come to a consensus about being true is a valid reason for tagging or removing material.
This is perfectly consistent with our real way of working: verifiability, the ability to confirm that something is what rational people could agree to be true, is our threshold for inclusion, but not personal opinions about what is true.  

""",0,0,0,0,0,0,concerning one point of disagreement concerning policy formulation in the above discussion i would suggest that the normal approach is yes knowing something to be untrue is generally accepted as a reason to tag or remove material in fact the extreme argument which i do not have much sympathy with is that questioning un sourced material is always acceptable no matter what the intention but then people generally add some proviso when arguing this extreme version such as except when we are talking about obvious behavior issues trying to formulate what less extreme people think i would say that believing something to be unlikely to be something that people could come to a consensus about being true is a valid reason for tagging or removing material this is perfectly consistent with our real way of working verifiability the ability to confirm that something is what rational people could agree to be true is our threshold for inclusion but not personal opinions about what is true,0.04666822371731163
